"gbif.species","db.species","RLcat.europe","RL.catEU27","endemic.europe","endemic.eu","endemic","eu.assessment","note","check","kingdom","phylum","class","order","family","genus","gbif.species.id","EUSpecies","common.name","excluded","exclusion.reason","Species.Zoo.global","Species.Zoo.EU","Genus.Zoo.Global","NrIndivGlobal","NrIndivEU","MaxPopSizeEU","SecondMaxPopSizeEU","NrZoosGlobal","NrZoosEU","NrSustPopGlobal","NrSustPopEU","SustMetaPopGlobal","SustMetaPopEU","VC.category","perc.target.met.in.PAs.and.N2K","Representation.target.perc","Area.in.EU28.km2","db.subspecies","db.species.merged","TargetAreakm2","ProtectedAreakm2","Gap.km2","EEP","ESB","RLExsitu","RLExsituNeeded","Aark","Aze","ED.score","EDGE","ED.score.related","related.species","EDGE.Species","reason","Bodymass.g","THR_CCH","THR","LevelBreeding"
"Elaphe sauromates","Elaphe sauromates","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe",2458386,1,"Eastern Four-Lined Ratsnake","0",NA,1,0,0,15,0,NA,NA,3,0,0,0,0,0,"L",381.99,10,210387.33,NA,"Elaphe sauromates",21038.733,80365.8561867,0,0,0,0,0,0,0,6.659948515,0,NA,NA,NA,NA,NA,0,0,3
"Eliomys quercinus","Eliomys quercinus","NT","NT","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Gliridae","Eliomys",2439683,1,"Garden Dormouse","0",NA,1,1,0,81,49,33,11,5,4,0,0,0,0,NA,302.43,10,1942475.34,NA,"Eliomys quercinus",194247.534,587462.8170762,0,0,0,0,0,0,0,20.25201037,0,NA,NA,NA,NA,114.61,0,0,4
"Emberiza aureola","Emberiza aureola","CR","CR",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491518,1,"Yellow-breasted Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",30.17,10,116707.66,NA,"Emberiza aureola",11670.766,3521.0701022,8149.6958978,0,0,0,0,0,0,4.674376045,0,NA,NA,NA,NA,19.6,1,1,2
"Emberiza bruniceps","Emberiza bruniceps","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491521,1,"Red-headed Bunting","0",NA,1,1,0,5,5,3,2,2,2,0,0,0,0,"L",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5.361963893,0,NA,NA,NA,NA,24.8,0,0,4
"Emberiza buchanani","Emberiza buchanani","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",9566476,1,"Grey-necked Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5.197497769,0,NA,NA,NA,NA,21.2,0,0,2
"Emberiza caesia","Emberiza caesia","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491490,1,"Cretzschmar's Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",302.77,10,136805.76,NA,"Emberiza caesia",13680.576,41420.6799552,0,0,0,0,0,0,0,4.373903923,0,NA,NA,NA,NA,19.95,0,0,2
"Emberiza calandra","Emberiza calandra","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",7634625,1,"Corn Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",226.97,10,2955670.44,NA,"Miliaria calandra",295567.044,670848.5197668,0,0,0,0,0,0,0,6.576905377,0,NA,NA,NA,NA,48.75,0,0,2
"Emberiza cia","Emberiza cia","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491498,1,"Rock Bunting","0",NA,1,0,0,1,0,NA,NA,1,0,0,0,0,0,"L",306.61,10,1159109.77,NA,"Emberiza cia",115910.977,355394.6465797,0,0,0,0,0,0,0,3.94296,0,NA,NA,NA,NA,23.45,0,0,3
"Emberiza cineracea","Emberiza cineracea","NT","NT","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491469,1,"Cinereous Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",502.06,10,2620.45,NA,"Emberiza cineracea",262.045,1315.623127,0,0,0,0,0,0,0,4.482544493,0,NA,NA,NA,NA,24.3,0,0,2
"Emberiza cirlus","Emberiza cirlus","LC","LC","Yes","Yes","Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",7626513,1,"Cirl Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",252.84,10,1554931.95,NA,"Emberiza cirlus",155493.195,393148.994238,0,0,0,0,0,0,0,5.180327322,0,NA,NA,NA,NA,25.6,0,0,2
"Emberiza citrinella","Emberiza citrinella","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491534,1,"Yellowhammer","0",NA,1,1,0,20,3,2,1,8,2,0,0,0,0,"L",226.38,10,3488327.15,NA,"Emberiza citrinella",348832.715,789687.500217,0,0,0,0,0,0,0,3.445275,0,NA,NA,NA,NA,29.7,0,0,4
"Emberiza hortulana","Emberiza hortulana","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491482,1,"Ortolan Bunting","0",NA,1,1,0,1,1,1,0,1,1,0,0,0,0,"L",260.76,10,2419542.97,NA,"Emberiza hortulana",241954.297,630920.0248572,0,0,0,0,0,0,0,4.368997929,0,NA,NA,NA,NA,19.9,0,0,4
"Emberiza leucocephalos","Emberiza leucocephalos","RE","RE",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491472,1,"Pine Bunting","0",NA,1,1,0,1,1,1,0,1,1,0,0,0,0,"L",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3.444818,0,NA,NA,NA,NA,28.5,1,1,4
"Emberiza melanocephala","Emberiza melanocephala","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",9613112,1,"Black-headed Bunting","0",NA,1,0,0,3,0,NA,NA,1,0,0,0,0,0,"L",324.02,10,264080.87,NA,"Emberiza melanocephala",26408.087,85567.4834974,0,0,0,0,0,0,0,5.323676118,0,NA,NA,NA,NA,28.35,0,0,3
"Emberiza pallasi","Emberiza pallasi","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491591,1,"Pallas's Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.695621639,0,NA,NA,NA,NA,14,0,0,2
"Emberiza pusilla","Emberiza pusilla","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491544,1,"Little Bunting","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"H",492.4,10,198691.51,NA,"Emberiza pusilla",19869.151,97835.699524,0,0,0,0,0,0,0,4.772681993,0,NA,NA,NA,NA,14.6,1,0,2
"Emberiza rustica","Emberiza rustica","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491582,1,"Rustic Bunting","0",NA,1,0,0,1,0,NA,NA,1,0,0,0,0,0,"L",110.78,10,598911.74,NA,"Emberiza rustica",59891.174,66347.4425572,0,0,0,0,0,0,0,5.154166181,0,NA,NA,NA,NA,20.55,0,0,3
"Emberiza schoeniclus","Emberiza schoeniclus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza",2491557,1,"Reed Bunting","0",NA,1,1,0,9,9,5,2,3,3,0,0,0,0,"L",308.06,10,3183103.69,NA,"Emberiza schoeniclus",318310.369,980586.9227414,0,0,0,0,0,0,0,4.703361567,0,NA,NA,NA,NA,18.45,0,0,4
"Emys orbicularis","Emys orbicularis","NT","VU",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Testudines","Emydidae","Emys",8909809,1,"European Pond Turtle","0",NA,1,1,0,1961,1564,242,185,107,77,5,4,1,1,"L",368.41,10,2129662.74,NA,"Emys orbicularis",212966.274,784589.0500434,0,0,1,0,0,0,0,13.30941505,0,NA,NA,NA,NA,NA,1,1,4
"Emys trinacris","Emys trinacris","DD","DD","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Testudines","Emydidae","Emys",5220531,1,"Sicilian Pond Turtle","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"H",64.18,36.69,25518.67,NA,"Emys trinacris",9362.800023,6009.0450547614,3353.7549682386,0,0,0,0,0,0,13.36065909,0,NA,NA,NA,NA,NA,1,0,2
"Epidalea calamita","Epidalea calamita","LC","LC","Yes",NA,"Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Epidalea",2422507,1,"Natterjack Toad","0",NA,1,1,0,596,596,368,204,7,7,2,2,1,1,"L",359.38,10,2075686.6,NA,"Epidalea calamita",207568.66,745960.250308,0,0,0,0,0,0,0,19.3693597,0,NA,NA,NA,NA,NA,0,0,4
"Eptesicus nilssonii","Eptesicus nilssonii","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus",7261816,1,"Northern Bat","0",NA,1,1,0,1,1,1,0,1,1,0,0,0,0,NA,239.07,10,1860072.74,NA,"Eptesicus nilsonii",186007.274,444687.5899518,0,0,0,0,0,0,0,6.334631817,0,NA,NA,NA,NA,10.72,0,0,4
"Eptesicus serotinus","Eptesicus serotinus","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus",2432359,1,"Serotine","0",NA,1,0,0,3,0,NA,NA,1,0,0,0,0,0,NA,288.87,10,3152525.84,NA,"Eptesicus serotinus",315252.584,910670.1394008,0,0,0,0,0,0,0,5.921121062,0,NA,NA,NA,NA,23.09,0,0,3
"Eremias arguta","Eremias arguta","NT","VU",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Eremias",2468945,1,"Steppe-runner","0",NA,1,1,0,2,1,1,0,2,1,0,0,0,0,"L",216.53,10,33722.86,NA,"Eremias arguta",3372.286,7302.0108758,0,0,0,0,0,0,0,18.34107466,0,NA,NA,NA,NA,NA,1,1,4
"Eremophila alpestris","Eremophila alpestris","LC","NT",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Eremophila",9415596,1,"Horned Lark","0",NA,1,1,0,7,4,4,0,4,1,0,0,0,0,"L",477.1,10,153123.98,NA,"Eremophila alpestris",15312.398,73055.450858,0,0,0,0,0,0,0,7.246331,0,NA,NA,NA,NA,33.5333333333333,0,0,4
"Erinaceus europaeus","Erinaceus europaeus","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus",5219616,1,"Western European Hedgehog","0",NA,1,1,0,74,12,2,1,19,8,0,0,0,0,NA,215.85,10,3013618.64,NA,"Erinaceus europaeus",301361.864,650489.583444,0,0,0,0,0,0,0,13.87135133,0,NA,NA,NA,NA,777.95,0,0,4
"Erinaceus roumanicus","Erinaceus roumanicus","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus",5219618,1,"Northern White-breasted Hedgehog","0",NA,1,1,0,5,5,2,1,4,4,0,0,0,0,NA,275.1,10,1329026.48,NA,"Erinaceus roumanicus",132902.648,365615.184648,0,0,0,0,0,0,0,13.79771299,0,NA,NA,NA,NA,772,0,0,4
"Erithacus rubecula","Erithacus rubecula","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus",2492462,1,"European Robin","0",NA,1,1,0,19,10,10,0,5,1,0,0,0,0,"H",266.95,10,4111793.64,NA,"Erithacus rubecula",411179.364,1097643.312198,0,0,0,0,0,0,0,10.37316962,0,NA,NA,NA,NA,17.7,1,0,4
"Erythropygia galactotes","Cercotrichas galactotes","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erythropygia",5788860,1,"Rufous-tailed Scrub-robin","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",279.32,10,262487.21,NA,"Cercotrichas galactote",26248.721,73317.9274972,0,0,0,0,0,0,0,6.935731569,0,NA,NA,NA,NA,20.3,0,0,1
"Eryx jaculus","Eryx jaculus","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Boidae","Eryx",9595248,1,"Javelin Sand Boa","0",NA,1,0,0,5,0,NA,NA,4,0,0,0,0,0,"L",333.96,10,166649.14,NA,"Eryx jaculus",16664.914,55654.1467944,0,0,0,0,0,0,0,12.3178446,0,NA,NA,NA,NA,NA,0,0,3
"Eschrichtius robustus","Eschrichtius robustus","RE","RE",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Cetacea","Eschrichtiidae","Eschrichtius",2440704,1,"Gray Whale","1","cetacean",0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21.8061889,0,NA,NA,NA,NA,27324024.19,1,1,1
"Eubalaena glacialis","Eubalaena glacialis","CR","CR",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Cetacea","Balaenidae","Eubalaena",2440339,1,"North Atlantic Right Whale","1","cetacean",0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,14.10040054,1,NA,NA,NA,NA,22999999.91,1,1,1
"Euleptes europaea","Euleptes europaea","NT","NT",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Sphaerodactylidae","Euleptes",2446608,1,"European Leaf-toed Gecko","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",61.07,34.61,28386.41,NA,"Phyllodactylus europaeus",9824.536501,5999.8444411607,3824.6920598393,0,0,0,0,0,0,47.22629051,0,NA,NA,NA,NA,NA,0,0,1
"Eumeces schneideri","Eumeces schneideri","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Eumeces",9032472,1,"Orange-tailed Skink","0",NA,1,1,0,43,28,5,4,18,12,0,0,0,0,NA,370.39,10,12549.84,NA,"Eumeces schneideri",1254.984,4648.3352376,0,0,0,0,0,0,0,15.48847144,0,NA,NA,NA,NA,NA,0,0,4
"Euproctus montanus","Euproctus montanus","LC","LC","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Euproctus",2431940,1,"Corsican Brook Salamander","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",23.6,66.43,5571.83,NA,"Euproctus montanus",3701.366669,873.522533884,2827.844135116,0,0,0,0,0,0,19.38171304,0,NA,NA,NA,NA,NA,0,0,2
"Euproctus platycephalus","Euproctus platycephalus","EN","EN","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Euproctus",2431941,1,"Sardinian Brook Salamander","0",NA,1,1,0,224,224,204,20,2,2,1,1,1,1,"H",62.47,63.17,6583.27,NA,"Euproctus platycephalus",4158.651659,2597.9096913773,1560.7419676227,0,0,0,0,0,0,19.4208788,1,NA,NA,NA,NA,NA,1,1,4
"Falco biarmicus","Falco biarmicus","NT","EN",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",8014966,1,"Lanner Falcon","0",NA,1,1,0,117,85,15,5,49,35,0,0,1,0,"L",248.24,10,191909.26,NA,"Falco biarmicus",19190.926,47639.5547024,0,0,0,0,0,0,0,3.851017,0,NA,NA,NA,NA,616,1,1,4
"Falco cherrug","Falco cherrug","EN","EN",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2481034,1,"Saker Falcon","0",NA,1,1,0,181,96,20,10,56,34,0,0,1,0,"H",274.76,10,220829.51,NA,"Falco cherrug",22082.951,60675.1161676,0,0,0,1,0,0,0,3.540804,0,NA,NA,NA,NA,966,1,1,4
"Falco columbarius","Falco columbarius","VU","VU",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",9813242,1,"Merlin","0",NA,1,1,0,23,13,4,3,16,7,0,0,0,0,"L",187.45,10,874808.73,NA,"Falco columbarius",87480.873,163982.8964385,0,0,0,0,0,0,0,8.698913427,0,NA,NA,NA,NA,190.5,1,1,4
"Falco eleonorae","Falco eleonorae","LC","LC","Yes*","Yes*","Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2481037,1,"Eleonora's Falcon","0",NA,1,1,0,2,1,1,0,2,1,0,0,0,0,"L",143.42,29.63,36629.66,NA,"Falco eleonorea",10853.368258,15565.9007556236,0,0,0,0,0,0,0,4.749419,0,NA,NA,NA,NA,390,0,0,4
"Falco naumanni","Falco naumanni","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",9584698,1,"Lesser Kestrel","0",NA,1,1,0,106,68,25,12,14,12,0,0,1,0,"L",224.82,10,645187.29,NA,"Falco naumanni",64518.729,145051.0065378,0,1,0,0,0,0,0,7.1752285,0,NA,NA,NA,NA,152.5,0,0,4
"Falco peregrinus","Falco peregrinus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2481047,1,"Peregrine Falcon","0",NA,1,1,0,204,100,19,15,97,30,0,0,1,1,"H",269.67,10,1823080.27,NA,"Falco peregrinus",182308.027,491630.0564109,0,0,0,0,0,0,0,3.93233,0,NA,NA,NA,NA,783.333333333333,1,0,4
"Falco rusticolus","Falco rusticolus","LC","EN",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",8069880,1,"Gyrfalcon","0",NA,1,1,0,36,22,8,2,22,12,0,0,0,0,"H",542.72,10,89671.45,NA,"Falco rusticolus",8967.145,48666.489344,0,0,0,0,0,0,0,3.609385,0,NA,NA,NA,NA,1461,1,1,4
"Falco subbuteo","Falco subbuteo","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2481035,1,"Eurasian Hobby","0",NA,1,1,0,26,11,2,1,19,7,0,0,0,0,"H",252.26,10,3242907.03,NA,"Falco subbuteo",324290.703,818055.7273878,0,0,0,0,0,0,0,4.072536,0,NA,NA,NA,NA,209.5,1,0,4
"Falco tinnunculus","Falco tinnunculus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",9616058,1,"Common Kestrel","0",NA,1,1,0,184,93,10,6,75,42,0,0,1,0,"L",224.27,10,4313600.75,NA,"Falco tinnunculus",431360.075,967411.2402025,0,0,0,0,0,0,0,4.393255,0,NA,NA,NA,NA,184,0,0,4
"Falco vespertinus","Falco vespertinus","VU","VU",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2481062,1,"Red-footed Falcon","0",NA,1,1,0,23,18,5,3,11,6,0,0,0,0,"L",146.54,10,341701.24,NA,"Falco vespertinus",34170.124,50072.8997096,0,0,0,0,0,0,0,6.494746729,0,NA,NA,NA,NA,152.5,1,1,4
"Felis silvestris","Felis silvestris","LC","NT",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis",7964291,1,"Wild Cat","0",NA,1,1,0,278,200,10,9,73,55,0,0,1,1,NA,442.8,10,1262573.3,NA,"Felis silvestris",126257.33,559067.45724,0,0,0,1,0,0,0,7.267931656,0,NA,NA,NA,NA,4573.08,0,0,4
"Ficedula albicollis","Ficedula albicollis","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula",2492601,1,"Collared Flycatcher","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",404.14,10,783343.66,NA,"Ficedula albicollis",78334.366,316580.5067524,0,0,0,0,0,0,0,4.405894,0,NA,NA,NA,NA,12.7,0,0,1
"Ficedula hypoleuca","Ficedula hypoleuca","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula",2492606,1,"European Pied Flycatcher","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",213.02,10,2392807.96,NA,"Ficedula hypoleuca",239280.796,509715.9516392,0,0,0,0,0,0,0,4.406315,0,NA,NA,NA,NA,13.9,0,0,1
"Ficedula parva","Ficedula parva","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula",2492605,1,"Red-breasted Flycatcher","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",196.44,10,1418129,NA,"Ficedula parva",141812.9,278577.26076,0,0,0,0,0,0,0,4.277584,0,NA,NA,NA,NA,9.9,0,0,1
"Ficedula semitorquata","Ficedula semitorquata","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula",2492608,1,"Semi-collared Flycatcher","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",502.77,10,109600.5,NA,"Ficedula semitorquata",10960.05,55103.843385,0,0,0,0,0,0,0,4.661644,0,NA,NA,NA,NA,14.4,0,0,1
"Francolinus francolinus","Francolinus francolinus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Galliformes","Phasianidae","Francolinus",5227919,1,"Black Francolin","0",NA,1,1,0,16,5,2,1,6,3,0,0,0,0,"L",454.65,10,4683.14,NA,"Francolinus francolinus",468.314,2129.189601,0,0,0,0,0,0,0,7.550290983,0,NA,NA,NA,NA,453,0,0,4
"Fratercula arctica","Fratercula arctica","EN","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Fratercula",2481353,1,"Atlantic Puffin","0",NA,1,1,0,147,84,53,8,13,6,0,0,1,0,"L",382.48,10,53445.79,NA,"Fratercula arctica",5344.579,20441.9457592,0,0,1,0,0,0,0,6.243924,1,NA,NA,NA,NA,652,0,0,4
"Fringilla coelebs","Fringilla coelebs","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla",2494422,1,"Eurasian Chaffinch","0",NA,1,1,0,21,11,3,2,12,5,0,0,0,0,"L",62.25,100,272.14,"ombriosa","Fringilla coelebs",272.14,169.40715,102.73285,0,0,0,0,0,0,8.062716092,0,NA,NA,NA,NA,23.9666666666667,0,0,4
"Fringilla montifringilla","Fringilla montifringilla","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla",2494441,1,"Brambling","0",NA,1,1,0,6,1,1,0,4,1,0,0,0,0,"L",140.82,10,926107.96,NA,"Fringilla montifringilla",92610.796,130414.5229272,0,0,0,0,0,0,0,8.770712566,0,NA,NA,NA,NA,23.2,0,0,4
"Fringilla polatzeki","Fringilla polatzeki","EN","EN","Yes","Yes","Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla",7894593,1,"Gran Canaria Blue Chaffinch","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"H",NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,8.113669,0,8.113669,"Fringilla teydea",0,"taxonomy",NA,1,1,2
"Fringilla teydea","Fringilla teydea","NT","NT","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla",2494442,1,"Blue Chaffinch","0",NA,1,1,0,2,2,2,0,1,1,0,0,0,0,"H",69.73,100,510.54,NA,"Fringilla teydea",510.54,355.999542,154.540458,0,0,0,0,0,0,8.113669425,0,NA,NA,NA,NA,30.3,1,0,4
"Fulica atra","Fulica atra","NT","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica",2474377,1,"Common Coot","0",NA,1,1,0,60,7,3,1,14,5,0,0,0,0,"H",300.55,10,3470974.84,NA,"Fulica atra",347097.484,1043201.488162,0,0,0,0,0,0,0,6.341703,0,NA,NA,NA,NA,734.333333333333,1,0,4
"Fulica cristata","Fulica cristata","CR","CR",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica",2474381,1,"Red-knobbed Coot","0",NA,1,1,0,5,5,5,0,1,1,0,0,0,0,"L",286.81,10,11004.66,NA,"Fulica cristata",1100.466,3156.2465346,0,0,0,0,1,0,0,18.82005081,0,NA,NA,NA,NA,826,1,1,4
"Fulmarus glacialis","Fulmarus glacialis","VU","EN",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus",2481433,1,"Northern Fulmar","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",161.52,10,109052.23,NA,"Fulmarus glacialis",10905.223,17614.1161896,0,0,0,0,0,0,0,9.869482965,0,NA,NA,NA,NA,613,1,1,1
"Galemys pyrenaicus","Galemys pyrenaicus","NT","NT","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Galemys",5219516,1,"Pyrenean Desman","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,376.19,10,176999.69,NA,"Galemys pyrenaicus",17699.969,66585.5133811,0,0,0,0,0,0,0,22.66510626,1,NA,NA,NA,NA,60.17,0,0,1
"Galerida cristata","Galerida cristata","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida",2490669,1,"Crested Lark","0",NA,1,1,0,10,3,2,1,4,2,0,0,0,0,"L",202.43,10,2502848.64,NA,"Galerida cristata",250284.864,506651.6501952,0,0,0,0,0,0,0,4.371645,0,NA,NA,NA,NA,42.8333333333333,0,0,4
