"gbif.species","db.species","RLcat.europe","RL.catEU27","endemic.europe","endemic.eu","endemic","eu.assessment","note","check","kingdom","phylum","class","order","family","genus","gbif.species.id","EUSpecies","common.name","excluded","exclusion.reason","Species.Zoo.global","Species.Zoo.EU","Genus.Zoo.Global","NrIndivGlobal","NrIndivEU","MaxPopSizeEU","SecondMaxPopSizeEU","NrZoosGlobal","NrZoosEU","NrSustPopGlobal","NrSustPopEU","SustMetaPopGlobal","SustMetaPopEU","VC.category","perc.target.met.in.PAs.and.N2K","Representation.target.perc","Area.in.EU28.km2","db.subspecies","db.species.merged","TargetAreakm2","ProtectedAreakm2","Gap.km2","EEP","ESB","RLExsitu","RLExsituNeeded","Aark","Aze","ED.score","EDGE","ED.score.related","related.species","EDGE.Species","reason","Bodymass.g","THR_CCH","THR","LevelBreeding"
"Microtus bavaricus","Microtus bavaricus","CR","CR","Yes","Yes","Yes","eu25","added EU endemism myself","found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438594,1,"Bavarian Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,0,100,26.39,NA,"Microtus bavaricus",26.39,0,26.39,0,0,0,0,0,1,4.802301418,0,NA,NA,NA,NA,23.167,1,1,2
"Microtus brachycercus","Microtus brachycercus","LC","LC","Yes","Yes","Yes","eu25","added EU endemism myself","found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",4265022,1,"Calabria Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,84.95,23.34,50523.3,NA,"Microtus brachycercus",11792.13822,10017.42141789,1774.71680211,0,0,0,0,0,0,4.738167702,0,NA,NA,NA,NA,20,0,0,2
"Microtus cabrerae","Microtus cabrerae","VU","VU","Yes","Yes","Yes","eu25","added EU endemism myself","found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438668,1,"Cabrera's Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,267.15,10,113226.75,NA,"Microtus cabrerae",11322.675,30248.5262625,0,0,0,0,0,0,0,6.758530229,0,NA,NA,NA,NA,52.5,1,1,2
"Microtus duodecimcostatus","Microtus duodecimcostatus","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438619,1,"Mediterranean Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,289.94,10,535382.04,NA,"Microtus duodecimcostatus",53538.204,155228.6686776,0,0,0,0,0,0,0,4.775956218,0,NA,NA,NA,NA,22.71,0,0,2
"Microtus felteni","Microtus felteni","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438597,1,"Balkan Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,93.55,57.76,8684.76,NA,"Microtus felteni",5016.317376,4692.764905248,323.552470752,0,0,0,0,0,0,5.048506831,0,NA,NA,NA,NA,39.18488604,0,0,2
"Microtus gerbei","Microtus gerbei","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438662,1,"Pyrenean Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,165.72,10,207655.84,NA,"Microtus gerbei",20765.584,34412.7258048,0,0,0,0,0,0,0,5.16715448,0,NA,NA,NA,NA,22,0,0,2
"Microtus guentheri","Microtus guentheri","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438628,1,"GÃ_nther's Vole","0",NA,1,1,0,8,8,6,2,2,2,0,0,0,0,NA,331.74,10,48463.63,NA,"Microtus guentheri",4846.363,16077.3246162,0,0,0,0,0,0,0,4.424747178,0,NA,NA,NA,NA,49.99,0,0,4
"Microtus levis","Microtus levis","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",4265013,1,"East European Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,196.18,10,444346.31,NA,"Microtus levis",44434.631,87171.8590958,0,0,0,0,0,0,0,4.590497959,0,NA,NA,NA,NA,35.49,0,0,2
"Microtus liechtensteini","Microtus liechtensteini","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",4265021,1,"Liechtensteinâ€™s Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,257.52,14.77,78344.01,NA,"Microtus liechtesteini",11571.410277,29798.6957453304,0,0,0,0,0,0,0,4.643075106,0,NA,NA,NA,NA,23.2,0,0,2
"Microtus lusitanicus","Microtus lusitanicus","LC","LC","Yes","Yes","Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438669,1,"Lusitanian Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,223.46,10,254970.74,NA,"Microtus lusitanicus",25497.074,56975.7615604,0,0,0,0,0,0,0,4.767905976,0,NA,NA,NA,NA,28.32931912,0,0,2
"Microtus multiplex","Microtus multiplex","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438647,1,"Alpine Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,261.82,10,118467.74,NA,"Microtus multiplex",11846.774,31017.2236868,0,0,0,0,0,0,0,4.640478517,0,NA,NA,NA,NA,23.16,0,0,2
"Microtus oeconomus","Microtus oeconomus","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438635,1,"Tundra Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,61.57,48.18,29831.03,"arenicola,mehelyi","Microtus oeconomus, Microtus oeconomus",14372.590254,8849.2038193878,5523.3864346122,0,0,0,0,0,0,5.299386678,0,NA,NA,NA,NA,33.1,0,0,2
"Microtus savii","Microtus savii","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438650,1,"Savi's Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,117.73,10,184834.33,NA,"Microtus savii",18483.433,21760.5456709,0,0,0,0,0,0,0,4.736197596,0,NA,NA,NA,NA,20,0,0,2
"Microtus subterraneus","Microtus subterraneus","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438660,1,"European Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,360.8,10,1641307.36,NA,"Microtus subterraneus",164130.736,592183.695488,0,0,0,0,0,0,0,4.88910013,0,NA,NA,NA,NA,17.74,0,0,2
"Microtus tatricus","Microtus tatricus","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438637,1,"Tatra Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,143.72,48.6,13874.4,NA,"Microtus tatricus",6742.9584,9690.97981248,0,0,0,0,0,0,0,4.863066104,0,NA,NA,NA,NA,40,0,0,2
"Microtus thomasi","Microtus thomasi","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438625,1,"Thomas's Pine Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,158.15,16.29,72462.23,NA,"Microtus thomasi",11804.097267,18668.1798277605,0,0,0,0,0,0,0,4.770570243,0,NA,NA,NA,NA,23,0,0,2
