"gbif.species","class","excluded","exclusion.reason","redlist.eu","endemic.europe.final","vuln.clim.change","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.eu","breeding.expertise","ed.value","ed.value.adjust","cost.captive","cost.wild","overlap.sum","cost.wild.adjust","Ki","Ai","Ii","Gi","ev.wild","ev.zoo","ev.both","ev.nothing","benefit.wild","benefit.zoo","benefit.both","cost.benefit.wild","cost.benefit.zoo","cost.benefit.both","net.strategy","cost.net.strategy","rank1.ben","rank2.ben.ed","rank3.costben","rank4.costben.ed"
"Ciconia nigra","Aves",0,NA,"LC",NA,"H",310.75,1,1,0,144,4,19.29805481,0.265083170467033,0,0,75.55,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Corvus corax","Aves",0,NA,"LC",NA,"H",262.72,1,1,0,133,4,2.745269,0.037709739010989,0,0,64.67,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Falco peregrinus","Aves",0,NA,"LC",NA,"H",269.67,1,1,0,100,4,3.93233,0.054015521978022,0,0,62.32,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Grus grus","Aves",0,NA,"LC",NA,"H",235.79,1,1,0,104,4,5.925404,0.0813929120879121,0,0,78.59,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Gyps fulvus","Aves",0,NA,"LC",NA,"H",303.92,1,1,0,454,4,4.198776,0.0576754945054945,0,0,73.97,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Haliaeetus albicilla","Aves",0,NA,"LC",NA,"H",385.76,1,1,0,129,4,7.196711,0.0988559203296703,0,0,78.75,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Marmaronetta angustirostris","Aves",0,NA,"EN",NA,"H",256.51,1,1,0,264,4,5.559801191,0.0763708954807692,0,0,83.53,0,0.3,1,0.667,1,0.30979,0.30979,0.30979,0.30979,0,0,0,0,0,0,"N","N",149,229,217,228
"Mergellus albellus","Aves",0,NA,"LC",NA,"H",210.61,1,1,0,237,4,4.851799802,0.0666456016758242,0,0,72.35,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Merops apiaster","Aves",0,NA,"LC",NA,"H",229.66,1,1,0,142,4,5.844693086,0.0802842456868132,0,0,60.59,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Neophron percnopterus","Aves",0,NA,"VU",NA,"H",328.53,1,1,0,133,4,18.55565,0.254885302197802,NA,0,81.17,0,0.3,1,0.1,1,0.667,0.667,0.667,0.667,0,0,0,0,0,0,"N","N",149,229,217,228
"Oxyura leucocephala","Aves",0,NA,"VU",NA,"H",346.1,1,1,0,144,4,5.079804167,0.0697775297664835,0,0,80.22,0,0.3,1,0.1,1,0.667,0.667,0.667,0.667,0,0,0,0,0,0,"N","N",149,229,217,228
"Recurvirostra avosetta","Aves",0,NA,"LC",NA,"H",389.26,1,1,0,849,4,10.487141,0.144054134615385,0,0,68.9500000000001,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
