"gbif.species","gbif.id","iucn.species","common.name","genus","family","order","class","excluded","exclusion.reason","redlist.europe","redlist.eu","endemic.europe.iucn","endemic.eu.iucn","endemic.europe.final","vuln.clim.change","aze","target.area.km2","protected.area.km2","gap.km2","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.global","pop.zoo.eu","max.pop.eu","second.max.pop.eu","nr.zoos.global","nr.zoos.eu","eep","esb","aark","redlist.exsitu","redlist.exsitu.needed","ed.value","edge","bodymass.g"
"Calandrella rufescens",2490682,"Alaudala rufescens","Lesser Short-toed Lark","Calandrella","Alaudidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,10420.764,30888.1865724,0,296.41,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.107454,0,24.1
"Calcarius lapponicus",2491678,"Calcarius lapponicus","Lapland Longspur","Calcarius","Calcariidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,19580.164,105067.160024,0,536.6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,9.967025059,0,27.85
"Calidris alba",2481748,"Calidris alba","Sanderling","Calidris","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,1,0,0,12,0,NA,NA,1,0,0,0,0,0,0,10.011243,0,51.8666666666667
"Calidris alpina",2481759,"Calidris alpina","Dunlin","Calidris","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,24819.737,38795.7309047,0,156.31,1,1,0,6,1,1,0,3,1,0,0,0,0,0,11.21800889,0,52.225
"Calidris canutus",2481765,"Calidris canutus","Red Knot","Calidris","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,13878.745,18480.936842,0,133.16,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,12.26080164,0,142
"Calidris ferruginea",2481741,"Calidris ferruginea","Curlew Sandpiper","Calidris","Scolopacidae","Charadriiformes","Aves",0,NA,"VU","VU",NA,NA,NA,"L",0,NA,NA,NA,NA,1,0,0,11,0,NA,NA,1,0,0,0,0,0,0,13.67052078,0,58.1
"Calidris maritima",2481743,"Calidris maritima","Purple Sandpiper","Calidris","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","NT",NA,NA,NA,"H",0,7648.354,42999.046188,0,562.2,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,8.14082,0,65.15
"Calidris minuta",2481749,"Calidris minuta","Little Stint","Calidris","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,341.503,1674.7990126,0,490.42,1,1,0,4,3,3,0,2,1,0,0,0,0,0,9.990511,0,21.1
"Calidris temminckii",2481740,"Calidris temminckii","Temminck's Stint","Calidris","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","NT",NA,NA,NA,"L",0,16296.907,89416.2396369,0,548.67,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,12.83151997,0,23
"Calonectris borealis",4847282,"Calonectris borealis","Cory's Shearwater","Calonectris","Procellariidae","Procellariiformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","L",0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,9.462675833,0,NA
