"db.species","col.species","x","a1","a2","a3","a4","a5","a6","a7","a8","a9","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a31","a32","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a61","a62","a63","a66","a67","a68","a70","a71","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a95","a99","a100","a101","a102","a103","a104","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Pelophylax bergeri","Pelophylax bergeri","a46",0,0,0,0,0,0.53,0,0.92,0,0,0,0,0,0.03,0.08,0.07,0,0.05,0,0,0.66,0.01,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0,1,0,0,0.37,0,0,0,0,0.94,0,0.35,0,0,0,0,0,0,0.12,0,0.04,0,0.17,0.22,0.06,0.01,0,0,0,0.07,0,0.03,0,0.13,0,0.56,0,0,0,0.3,0,0,0,0,0,0,0.62,0,0.07,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax bergeri",2426665
"Pelophylax cerigensis","Pelophylax cerigensis","a47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax cerigensis",2426670
"Pelophylax cretensis","Pelophylax cretensis","a48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax cretensis",2426672
"Pelophylax epeiroticus","Pelophylax epeiroticus","a50",0,0,0,0,0,0,0.54,0.97,0,0.97,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.81,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax epeiroticus",2426648
"Pelophylax kurtmuelleri","Pelophylax kurtmuelleri","a57",0,0,0,0,0,0,0.59,0.99,0,0.95,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0.51,0.03,0,0.5,0,0,0,0,1,0,0,0,0,0.1,0.04,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.93,0.46,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax kurtmuelleri",2426650
"Pelophylax lessonae","Pelophylax lessonae","a59",0,0,0,0.27,0.4,0,0.37,0.95,0.66,0.58,0,0,0,0,0,0,0,0,0,0.72,0.06,0,0,0,0,0,0,0.03,0,0,0.07,0,0,0.56,0,0,0,0,0.41,0,0.63,0,0,0,0,0,0,0.03,1,0,0,0.75,0.88,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.56,0,0.13,0.75,0.07,0.31,0,0,0.08,0.04,0,0.03,0,0.03,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax lessonae",2426654
"Pelophylax perezi","Pelophylax perezi","a61",0.18,0.02,0,0.6,0,0,0,0.97,0.87,0,0.14,0.54,0.23,0,0,0,0.02,0,0,0.67,0,0.34,0,0,0,0,0.7,0,0,0.16,0.49,0.42,0,0,0,0,0,0,0.03,0,0,0,0.08,0,0.28,0,0,0,0,1,0,0,0.25,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.07,0.47,0,0.02,0,0.4,0,0,0.52,0,0.25,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax perezi",2426658
"Pelophylax ridibundus","Pelophylax ridibundus","a63",0,0,0,0.24,0.45,0,0.39,0.97,0.58,0.64,0,0,0,0,0,0,0,0,0,0.84,0,0.01,0,0,0,0,0,0,0.03,0,0.11,0,0.01,0.51,0,0,0,0,0.37,0,0.49,0.02,0.01,0,0,0,0.01,0,0.66,0,0,1,0.84,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.52,0,0.07,0.67,0.08,0.33,0,0.06,0.09,0.01,0,0.01,0,0,0,0,0.02,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax ridibundus",2426661
"Pleurodeles waltl","Pleurodeles waltl","a42",0.4,0.02,0,0.26,0,0,0,1,0.89,0,0,0.65,0.29,0,0,0,0,0,0,0.62,0,0.6,0,0,0,0,0.99,0,0,0.36,0.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,1,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0.03,0,0,0.21,0,0.58,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Pleurodeles","Pleurodeles waltl",2431875
"Proteus anguinus","Proteus anguinus","a43",0,0,0,0,0.01,0,0.25,0.84,0,0.61,0,0,0,0,0,0,0,0,0,0.42,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0.23,0,0.03,0,0,0,0,0,0,0.03,0.09,0,0,0.28,0.05,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.22,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Proteidae","Proteus","Proteus anguinus",2432042
