"db.species","col.species","x","m2","m3","m4","m11","m12","m13","m14","m15","m17","m19","m20","m21","m22","m23","m24","m25","m26","m28","m30","m36","m37","m38","m43","m45","m46","m49","m52","m53","m54","m56","m57","m58","m59","m62","m66","m68","m72","m73","m74","m76","m77","m80","m81","m83","m85","m86","m90","m91","m94","m96","m97","m98","m99","m100","m101","m103","m105","m110","m111","m114","m121","m125","m127","m128","m130","m131","m132","m133","m136","m137","m138","m140","m141","m142","m143","m146","m148","m149","m152","m153","m154","m156","m157","m158","m159","m160","m161","m162","m163","m164","m165","m166","m167","m169","m170","m171","m172","m174","m175","m176","m177","m178","m179","m180","m181","m182","m183","m185","m186","m187","m189","m191","m192","m195","m196","m197","m198","m201","m203","m206","m207","m208","m209","m210","m211","m212","m213","m214","m215","m216","m218","m224","m225","m226","m227","m228","m230","m232","m234","m235","m237","m241","m243","m244","m245","m246","m248","m249","m250","m251","m252","m253","m255","m262","m263","m265","m268","m273","m277","m278","m279","m280","m283","m284","m285","m286","m287","m290","m292","m293","m295","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","m226",0,0,0.01,0,0.29,0.02,0,0.69,0,0.99,0.17,0,0.22,0.11,0.15,0.01,0.88,0,0.14,0,0.01,0.83,0,0.01,0.1,0,0.61,0.01,0.21,0.01,0.72,0,0.09,0,0.19,0.59,0,0.17,0.99,0.67,0.36,0.26,0.04,0.13,0.71,0,0.59,0.09,0,0.01,0,0.03,0.74,0.17,0,0.27,0,0.95,0.46,0.96,0,0.01,0.23,0.5,0.22,0,0.02,0.01,0.11,0,0.02,0.01,0.06,0.05,0.11,0.07,0,0.08,0.45,0,0.01,0.71,0,0.02,0.49,0.06,0.13,0.63,0.05,0.09,0.01,0.99,0.61,0.59,0,0,0,0,0.26,0.1,0.9,0.72,0.48,0.09,0.05,0.3,0.88,0.97,0.78,0.91,0.02,0.42,0.24,0,0.39,0.88,0.74,0.3,0.02,0.76,0,0.9,1,0.57,0.82,0.95,0.02,0.09,0,0,0,0.11,0.61,1,0.98,0.13,0,0,0,0.47,0.02,0,0.04,0.11,0.15,0.38,0,0.24,0.04,0,0,0.79,0.09,0,0.06,0,0.09,0,0.32,0.87,0.52,0.04,0.66,0,0.12,0.05,0.01,0.06,0.36,0,0.93,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum",2432655
"Rhinolophus hipposideros","Rhinolophus hipposideros","m227",0,0,0.01,0,0.34,0.03,0,0.73,0,0.99,0.22,0,0.23,0.09,0.19,0.01,0.85,0,0.13,0,0.01,0.85,0,0.01,0.14,0,0.65,0.01,0.17,0.01,0.76,0,0.08,0,0.23,0.56,0,0.24,0.98,0.64,0.42,0.25,0.03,0.11,0.75,0,0.51,0.07,0,0.01,0,0.02,0.73,0.14,0,0.28,0,0.92,0.49,0.97,0,0.01,0.25,0.56,0.24,0,0.02,0,0.09,0,0.02,0,0.05,0.04,0.09,0.06,0,0.06,0.51,0,0.01,0.64,0,0.02,0.46,0.08,0.1,0.68,0.1,0.11,0.01,0.98,0.61,0.62,0,0,0,0,0.22,0.1,0.88,0.65,0.55,0.07,0.06,0.3,0.81,0.96,0.81,0.92,0.01,0.39,0.23,0,0.37,0.89,0.77,0.25,0.01,0.65,0,0.91,1,0.54,0.85,0.93,0.01,0.1,0,0,0,0.09,0.51,0.79,1,0.12,0,0.01,0,0.5,0.03,0,0.03,0.16,0.13,0.47,0,0.21,0.03,0,0,0.83,0.08,0,0.06,0,0.12,0,0.26,0.85,0.43,0.04,0.66,0,0.1,0.04,0.01,0.07,0.46,0,0.94,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus hipposideros",2432614
"Rhinolophus mehelyi","Rhinolophus mehelyi","m228",0,0.01,0,0,0.3,0,0.09,0.44,0,0.98,0.06,0,0.1,0.09,0.01,0,0.41,0,0.44,0,0.01,0.59,0,0.08,0.06,0,0.44,0.06,0.4,0.02,0.59,0,0.18,0,0.18,0.33,0,0,1,0.54,0.44,0.25,0.01,0.31,0.35,0,0.62,0.02,0,0.1,0,0.02,0.47,0.43,0,0.32,0,0.85,0.19,0.88,0,0.06,0.12,0.1,0.06,0,0,0.07,0.29,0,0,0.03,0.23,0,0.19,0,0,0.02,0.16,0,0.06,0.88,0.01,0.16,0.81,0.06,0.42,0.24,0.01,0.09,0,0.98,0.54,0.13,0,0,0.01,0,0.11,0.31,0.44,0.92,0.19,0.21,0,0.22,0.98,0.9,0.5,0.61,0.08,0.45,0.08,0,0.28,0.93,0.49,0.43,0.1,0.97,0,0.32,0.98,0.22,0.34,0.45,0.12,0.1,0.02,0,0,0.34,0.45,0.47,0.5,1,0.02,0,0,0.13,0,0,0.02,0.01,0,0.3,0,0,0.03,0,0,0.44,0,0,0.21,0,0.15,0,0.36,0.55,0.8,0,0.32,0.02,0.31,0,0,0.05,0.26,0.06,1,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus mehelyi",2432667
"Rousettus aegyptiacus","Rousettus aegyptiacus","m230",0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.59,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.41,0,0,1,0,0,0.34,0,0,0,0,0,0,1,0,1,1,0,0.22,0,0,0,0,1,0,0,0,0,1,0.22,0.22,0.22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,1,0,0,0,0,0,0,0,0,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus aegyptiacus",2432953
"Rupicapra rupicapra","Rupicapra rupicapra","m232",0,0,0,0,0.13,0.61,0,0.81,0,0.86,0.05,0,0.49,0.03,0.9,0,0.75,0,0.04,0.04,0,0.93,0.21,0,0.01,0,0.82,0,0.04,0,0.29,0,0.01,0,0.56,0.44,0,0.75,0.86,0.62,0.36,0.1,0,0.02,0.68,0,0.59,0,0,0,0,0,0.13,0,0.18,0.33,0,0.49,0.75,0.94,0,0,0,0.77,0.19,0,0,0,0.02,0,0,0,0,0.17,0,0.28,0,0.01,0.77,0.01,0,0.16,0,0,0.19,0,0,0.24,0.97,0.02,0,1,0.19,0.91,0,0,0,0,0.06,0.02,0.23,0.1,0.62,0.04,0,0.31,0.11,0.37,0.83,0.73,0,0.09,0.1,0,0.12,0.93,0.85,0,0,0.77,0,0.75,0.86,0.07,0.71,0.49,0,0.69,0,0,0,0,0,0,0.24,0,0,1,0,0.75,0.13,0,0,0.89,0.42,0.6,0,0.08,0,0,0,0.91,0,0,0,0,0,0,0,0.7,0.33,0.02,0.17,0,0,0,0,0.33,0.89,0,0.97,"found species on GBIF","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Rupicapra","Rupicapra rupicapra",5220170
"Sciurus anomalus","Sciurus anomalus","m234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus anomalus",8243249
"Sciurus vulgaris","Sciurus vulgaris","m235",0,0,0.63,0,0.29,0.02,0,0.61,0,0.5,0.1,0,0.26,0.03,0.12,0,0.36,0,0.03,0,0,0.97,0,0,0,0,0.23,0,0,0,0.21,0,0.04,0,0.14,0.31,0,0.74,0.37,0.71,0.21,0.15,0.01,0.06,0.3,0.19,0.14,0.01,0.18,0,0,0,0.4,0.02,0,0.31,0,0.32,0.98,0.97,0,0,0,0.92,0,0,0,0,0,0,0,0,0.07,0.02,0.02,0.02,0,0,0.24,0,0,0.15,0,0,0,0,0,0.3,0.62,0,0,0.98,0.34,0.92,0.28,0.07,0,0.4,0.11,0.02,0.26,0.14,0.66,0.03,0.07,0.26,0.2,0.28,0.57,0.57,0,0.11,0.13,0,0.12,0.39,0.52,0.06,0,0.17,0,0.51,0.47,0.26,0.71,0.3,0,0.04,0,0,0.14,0.02,0.11,0.18,0.24,0.01,0,0.02,0,1,0.27,0,0,0.09,0.04,0.86,0.34,0.1,0.01,0.15,0.23,0.99,0.02,0,0,0,0,0,0.04,0.47,0.1,0.01,0.38,0,0.02,0.01,0,0.51,0.42,0,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",8211070
"Sicista betulina","Sicista betulina","m237",0,0,0.9,0,0.68,0.01,0,0.77,0,0.27,0.22,0,0.27,0,0.06,0,0.21,0,0,0,0,0.98,0,0,0.05,0,0.13,0,0,0,0.1,0,0,0,0.1,0.34,0,0.95,0.3,0.67,0.4,0.03,0,0,0.13,0.29,0,0,0.04,0,0,0,0.51,0,0.01,0.34,0,0.31,0.82,1,0,0,0.01,1,0.11,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.19,0,0,0.02,0,0,0.17,0,0,0.18,0.67,0.02,0,0.98,0.48,0.98,0.05,0.08,0,0.4,0.02,0,0.07,0.03,0.74,0,0.15,0.3,0.05,0.12,0.65,0.4,0,0.04,0.15,0,0.04,0.3,0.52,0,0,0.02,0,0.38,0.39,0.14,0.71,0.1,0,0,0,0,0.29,0,0,0.02,0.05,0,0,0.01,0,0.82,1,0,0,0.08,0,0.98,0.49,0,0,0.3,0.34,1,0,0,0,0,0,0,0,0.41,0,0,0.49,0,0,0,0,0.63,0.58,0,0.98,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Dipodidae","Sicista","Sicista betulina",2439449
"Sicista severtzovi","Sicista severtzovi","m241",0,0,0,0,1,0,0,0.57,0,1,1,0,0.1,0,0,0,0.33,0,0,0,0,1,0,0,0.9,0,1,0,0,0,1,0,0,0,0.1,0,0,0.62,1,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0.57,0,0,0.14,0,1,0.14,0.57,0,0,0.67,0.57,0.9,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.57,0,0,0,0,0,0.9,0,0,0.33,0.24,0.9,0,1,0.62,0.57,0,0,0,0,0.14,0,0.33,0,0.33,0,0.38,0.24,0,0.62,0.57,0.33,0,0.24,0.1,0,0.33,0.62,0.62,0,0,0,0,0.33,1,0.76,0.33,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.33,1,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0.48,0,0.38,0,0,1,0,0,0,0,0,0.62,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Dipodidae","Sicista","Sicista severtzovi",2439442
"Sicista subtilis","Sicista subtilis","m243",0,0,0,0,1,0,0,1,0,1,0.88,0,0.17,0,0.09,0,0.65,0,0.26,0,0,1,0,0,0.74,0,1,0,0,0,1,0,0,0,0.18,0,0,0.27,1,0,1,0.1,0,0,0.83,0,0.58,0,0,0,0,0,1,0,0,0.11,0,0.91,0.18,1,0,0.16,0.65,0.53,0.79,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.8,0,0,0.99,0,0,0.82,0.76,0,0.67,0.18,0.82,0,1,0.5,0.35,0,0,0,0,0.11,0.2,0.75,1,0.83,0.01,0.3,0.13,1,1,0.98,0.83,0,0.29,0.17,0,0.35,1,1,0,0,0.32,0,0.83,1,0.31,0.83,0.83,0,0,0,0,0,0,0.15,0.74,0.83,0.13,0,0,0,0.18,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.39,0,0.8,0,0,0.82,0,0,1,0,0,0,0,0,1,0.01,1,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Dipodidae","Sicista","Sicista subtilis",2439439
"Sorex alpinus","Sorex alpinus","m244",0,0,0.02,0,0.5,0.2,0,0.95,0,0.97,0.41,0,0.42,0.01,0.75,0,0.77,0,0.06,0.01,0,1,0.04,0,0.16,0,0.89,0,0.03,0,0.74,0,0.03,0,0.53,0.37,0,0.64,0.97,0.47,0.72,0.29,0,0,0.75,0,0.32,0,0,0,0,0,0.71,0,0.05,0.45,0,0.78,0.68,1,0,0,0.09,0.88,0.33,0,0,0,0.01,0,0,0,0,0.12,0,0.12,0,0.01,0.93,0.01,0,0.41,0,0,0.33,0,0,0.6,0.55,0.11,0,1,0.59,0.92,0,0,0,0,0.13,0.01,0.59,0.48,0.7,0.06,0.05,0.47,0.67,0.81,0.94,0.77,0,0.43,0.31,0,0.2,1,0.96,0,0,0.46,0,0.78,0.97,0.32,0.76,0.68,0,0.35,0,0,0,0.04,0.14,0.34,0.61,0.01,0,0.17,0,0.67,0.2,0,0,1,0.17,0.85,0,0.06,0,0,0,0.99,0,0.01,0.01,0,0.02,0,0.02,0.77,0.16,0.03,0.73,0,0,0,0,0.32,0.96,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex alpinus",2435986
"Sorex antinorii","Sorex antinorii","m245",0,0,0,0,0.16,0.12,0,0.94,0,0.96,0,0,0.41,0.02,0.2,0,0.71,0,0.01,0,0,0.91,0.05,0,0,0,0.9,0,0.03,0,0.82,0,0.33,0,0.09,0.7,0,0.19,0.96,0.94,0.09,0.08,0,0.01,0.73,0,0.99,0.46,0,0,0,0.1,0.87,0,0.05,0.4,0,0.92,0.42,0.99,0,0,0.17,0.15,0.22,0,0.12,0,0.02,0,0,0,0,0.1,0,0.41,0,0.37,0.21,0,0,0.85,0,0,0.57,0,0,0.67,0.17,0,0,1,0.66,0.85,0,0,0,0,0.15,0.01,0.67,0.87,0.59,0.16,0,0.44,0.84,0.9,0.96,0.74,0,0.53,0.33,0,0.26,0.99,0.96,0,0,0.96,0,0.75,0.96,0.45,0.74,0.68,0,0.31,0,0,0,0,0.55,0.64,0.68,0,0,0.11,0,0.42,0,0,0,0.23,1,0.04,0,0.04,0,0,0,0.98,0.41,0,0,0,0,0,0.43,0.73,0.91,0.22,0.55,0,0,0.29,0,0.09,0.22,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex antinorii",2435998
"Sorex araneus","Sorex araneus","m246",0,0,0.59,0.02,0.38,0.01,0,0.67,0,0.56,0.16,0,0.26,0,0.11,0,0.28,0,0.05,0,0,0.97,0,0.01,0.12,0,0.29,0,0.05,0,0.24,0,0.02,0,0.09,0.16,0,0.73,0.42,0.63,0.32,0.08,0,0,0.25,0.17,0.08,0,0.17,0,0,0,0.56,0,0.03,0.29,0,0.37,0.64,0.96,0,0.01,0.11,0.94,0.23,0,0,0,0,0,0,0,0.09,0.01,0,0,0.01,0,0.3,0,0,0.13,0,0.01,0.35,0.04,0,0.27,0.67,0.07,0,0.99,0.38,0.92,0.24,0.05,0,0.3,0.04,0.03,0.19,0.15,0.57,0.02,0.12,0.26,0.21,0.32,0.6,0.45,0,0.11,0.17,0,0.07,0.46,0.62,0,0,0.1,0,0.41,0.54,0.22,0.55,0.22,0,0.02,0,0,0.1,0.03,0.05,0.11,0.17,0.02,0,0.01,0,0.64,0.24,0,0.01,0.08,0,1,0.3,0.04,0,0.11,0.2,1,0,0,0.03,0,0.06,0,0.01,0.36,0.03,0,0.54,0,0,0,0,0.42,0.54,0.01,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex araneus",8316400
"Sorex caecutiens","Sorex caecutiens","m248",0,0,1,0.04,0.24,0,0,0.32,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,1,0,0.76,0.01,0,0,0,0,0.5,0,0,0.37,0,0,0,0.21,0,0.06,0.27,0,0,0.86,0.89,0,0,0,1,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.02,0,0,0,0,0,0.14,0,0,0,0.85,0,0,1,0.24,0.94,0.56,0.18,0,0.69,0,0,0,0,0.41,0,0.01,0.1,0,0,0.32,0.07,0,0,0.09,0,0,0,0.06,0,0,0,0,0.06,0.01,0,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.86,0.4,0,0,0,0,1,1,0,0,0.37,0.68,1,0,0,0,0,0,0,0,0.1,0,0,0.18,0,0,0,0,0.99,0.13,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex caecutiens",2435994
"Sorex coronatus","Sorex coronatus","m249",0,0,0,0,0.05,0.02,0,0.73,0,1,0,0,0.21,0.21,0.25,0,0.94,0,0,0,0,1,0,0,0.03,0,0.49,0,0.26,0,0.47,0,0,0,0,0.84,0,0.21,1,0.99,0,0.27,0.06,0.27,0.69,0,0.33,0,0,0,0,0,0.82,0.07,0,0.31,0,0.92,0.72,1,0,0,0.24,0.99,0.26,0,0,0,0.07,0,0.06,0,0,0,0.12,0.06,0,0,0.58,0,0,0.42,0,0,0.26,0,0.03,0.59,0.19,0,0.02,1,0.61,0.94,0,0,0,0,0.47,0,0.81,0.29,0.38,0.04,0.08,0.36,0.7,0.88,0.97,0.99,0,0.27,0.26,0,0.38,0.92,0.9,0.42,0,0.62,0,1,1,0.42,0.99,0.91,0,0.02,0,0,0,0,0.37,0.69,0.72,0,0,0.01,0,0.73,0,0,0,0.05,0.03,0.39,0,1,0.01,0,0,1,0,0,0,0,0,0,0.16,0.89,0.3,0,0.84,0,0.09,0,0,0.01,0.31,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex coronatus",2436090
"Sorex granarius","Sorex granarius","m250",0,0,0,0,0,0,0,0.12,0,1,0,0,0.01,0.34,0,0,0.84,0,0,0,0.01,0.93,0,0,0,0,0,0,0.34,0,0.75,0,0,0,0,0.98,0,0,1,1,0,0.21,0.31,0.76,0.29,0,0.72,0,0,0,0,0,0,0.74,0,0.33,0,0.8,0.43,0.98,0,0,0,0.83,0.05,0,0,0.02,0.08,0,0,0,0,0,0.77,0,0,0,0,0,0,0.37,0,0,0.34,0,0.26,0,0.15,0,0,1,0.61,0.07,0,0,0,0,0,0,0.65,0.43,0,0,0,0.29,0.51,0.8,0.37,0.74,0,0.42,0.1,0,0.84,1,0,0.8,0,0.58,0,0.27,1,0.3,0.84,0.85,0,0,0,0,0,0,0.62,0.64,0.65,0.13,0,0,0,0.52,0,0,0,0,0,0,0,0.04,1,0,0,0.97,0,0,0,0,0,0,0.1,1,1,0,0.01,0,0.77,0,0,0,0,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex granarius",2436071
"Sorex isodon","Sorex isodon","m251",0,0,1,0,0.32,0,0,0.33,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.96,0,0.95,0,0,0,0,0,0.6,0,0,0.25,0,0,0,0.04,0,0,0.29,0,0,0.96,1,0,0,0.04,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0.96,0.29,0.96,0.39,0.22,0,0.87,0,0,0,0,0.51,0,0,0.09,0,0,0.44,0.04,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0,0,0.46,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.96,0.63,0,0,0,0,0.96,0.95,0,0,1,0.91,1,0,0,0,0,0,0,0,0.1,0,0,0.03,0,0,0,0,0.96,0.07,0,0.96,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex isodon",2436016
"Sorex minutissimus","Sorex minutissimus","m252",0,0,1,0.01,0.22,0,0,0.3,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,1,0,0.83,0,0,0,0,0,0.49,0,0,0.36,0,0,0,0.09,0,0.03,0.23,0,0,0.87,0.93,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,1,0,0,1,0.21,0.97,0.55,0.19,0,0.71,0,0,0,0,0.36,0,0,0.09,0,0,0.33,0.04,0,0,0.04,0,0,0,0.05,0,0,0,0,0.04,0,0,0.31,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.87,0.41,0,0,0,0,1,1,0,0,0.52,1,1,0,0,0,0,0,0,0,0.06,0,0,0.08,0,0,0,0,0.99,0.12,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex minutissimus",2435959
"Sorex minutus","Sorex minutus","m253",0,0,0.47,0.01,0.31,0.01,0,0.64,0,0.65,0.13,0,0.25,0.04,0.11,0,0.32,0,0.04,0,0,0.93,0.01,0,0.1,0,0.32,0,0.12,0,0.32,0,0.03,0,0.08,0.23,0,0.58,0.51,0.69,0.26,0.09,0.01,0.07,0.27,0.13,0.18,0.03,0.13,0,0,0.01,0.57,0.03,0.03,0.32,0,0.45,0.57,0.97,0,0,0.11,0.86,0.25,0,0.01,0,0.03,0,0.02,0,0.07,0.01,0.04,0.02,0.01,0.02,0.3,0,0,0.23,0,0.01,0.41,0.03,0.02,0.28,0.61,0.05,0,0.95,0.41,0.85,0.19,0.04,0,0.24,0.07,0.03,0.25,0.23,0.48,0.03,0.1,0.29,0.32,0.42,0.67,0.47,0,0.16,0.18,0,0.11,0.56,0.62,0.09,0,0.24,0,0.43,0.63,0.23,0.54,0.28,0,0.04,0,0,0.08,0.03,0.11,0.18,0.23,0.03,0,0.01,0,0.57,0.19,0,0.01,0.07,0.05,0.77,0.23,0.08,0.01,0.09,0.16,1,0.02,0,0.03,0,0.05,0,0.05,0.39,0.14,0.01,0.54,0,0.03,0.02,0,0.34,0.43,0,0.98,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex minutus",7571319
"Sorex samniticus","Sorex samniticus","m255",0,0,0,0,0.04,0,0,0.99,0,1,0,0,0.4,0,0,0,0.85,0,0,0,0,0.87,0,0,0,0,1,0,0,0,0.99,0,0.33,0,0.06,0.98,0,0,1,1,0,0.14,0,0,0.98,0,1,0.79,0,0,0,0.16,0.99,0,0,0.29,0,0.99,0.44,1,0,0,0.22,0,0.14,0,0.17,0,0,0,0,0,0,0,0,0.22,0,0.42,0,0,0,0.99,0,0,0.59,0,0,0.96,0,0,0,1,0.8,0.87,0,0,0,0,0.06,0,0.96,0.99,0.79,0.07,0,0.32,0.96,0.99,1,1,0,0.59,0.31,0,0.45,1,1,0,0,1,0,0.97,1,0.61,0.97,0.97,0,0,0,0,0,0,0.91,0.96,0.96,0,0,0,0,0.41,0,0,0,0,0.96,0,0,0,0,0,0,1,1,0,0,0,0,0,0.94,0.95,1,0.31,0.44,0,0,0.44,0,0.02,0,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex samniticus",2436103
"Spalax graecus","Spalax graecus","m262",0,0,0,0,1,0,0,1,0,1,1,0,0.31,0,0.42,0,0,0,0.07,0,0,1,0,0.04,0.97,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.01,0,0,0,0,0,1,0,0,0.48,0,0.85,0,1,0,0,0,0.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.51,0,0,1,0.29,0,0,0.9,1,0,1,0.73,0.59,0,0,0,0,0,0,0,1,0,0,0.08,0.62,1,1,1,0,0,0.47,0.31,0,0,1,1,0,0,0.06,0,0,1,0,0,0.01,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0.42,0,1,0,0,0,0,0,1,0,1,0.06,0,0.49,0,0,0,0,0,1,0,0,0,0,0.13,1,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Spalacidae","Spalax","Spalax graecus",2438885
"Spalax leucodon","Spalax leucodon","m263",0,0,0,0,0.77,0,0.13,0.99,0,1,0.45,0,0.23,0,0.08,0,0.43,0,0.69,0,0,1,0.03,0.17,0.48,0,1,0,0,0,0.99,0,0.11,0,0,0,0,0.04,1,0,0.99,0,0,0,0.57,0,0.65,0,0,0,0,0,0.99,0,0,0.23,0,0.95,0,0.99,0,0.15,0.51,0.22,0.45,0,0,0,0,0.01,0,0.09,0.4,0,0,0,0,0,0.53,0,0.15,0.81,0,0.29,1,0.39,0,0.48,0.13,0.56,0,1,0.52,0.23,0,0,0.01,0,0,0.37,0.52,0.99,0.44,0.2,0.1,0.22,1,1,0.83,0.57,0,0.47,0.19,0,0.26,1,1,0,0,0.68,0,0.55,1,0.09,0.55,0.52,0.09,0.08,0,0,0,0.47,0.32,0.52,0.57,0.46,0,0,0,0,0,0,0.15,0.02,0,0.77,0,0,0,0,0,0.89,0,0.01,1,0,0.63,0,0.02,0.44,0.34,0.02,0.79,0.02,0,0,0.07,0.04,0.78,0.15,1,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Spalacidae","Spalax","Spalax leucodon",4264696
"Spalax nehringi","Spalax nehringi","m265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0.64,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Spalacidae","Spalax","Spalax nehringi",4264693
