"db.species","col.species","x","r2","r4","r6","r7","r8","r9","r10","r11","r13","r14","r15","r17","r18","r19","r20","r21","r22","r23","r25","r26","r27","r28","r29","r32","r50","r61","r68","r74","r75","r76","r77","r78","r79","r80","r81","r88","r90","r91","r92","r93","r94","r95","r96","r97","r98","r99","r101","r102","r103","r104","r105","r106","r107","r108","r109","r110","r111","r112","r113","r114","r115","r116","r117","r121","r123","r127","r130","r132","r134","r135","r136","r139","r141","r142","r143","r144","r145","r146","r147","r149","r150","r153","r154","r156","r157","r158","r163","r166","r167","r168","r169","r170","r171","r172","r173","r174","r175","r176","r177","r178","r179","r180","r181","r182","r183","r184","r185","r186","r189","r190","r191","r192","r193","r194","r195","r196","r197","r198","r199","r202","r203","r206","r207","r208","r213","r217","r218","r219","r220","r221","r222","r223","r224","r226","r227","r251","r253","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Iberolacerta galani","Iberolacerta galani","r111",0,0,0.99,0,0,0,0,0,0,0.99,0,0.93,0,0,0,0,0,0,0.3,0,0,0.99,0.98,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35,0,0,0,0,0.98,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0.12,0,0,0.44,0,0,0,0,0.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.79,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.74,0.33,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta galani",2468522
"Iberolacerta horvathi","Iberolacerta horvathi","r112",0,0,0,0,0,0,0,0.11,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0.87,0.14,0,0.04,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0.18,0,0,0,0,0,1,0,0,0.15,0,0.04,0,0,0,0,0,0.08,0,0.58,0,0,0,0,0,0,0,0.05,0,0,0,0,0.41,0,0,0.09,0,0,0,0,0,0,0,0.22,0,1,0,0,0,0.07,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.03,0,0.17,0,0,0,0,0.86,0.12,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta horvathi",2468506
"Iberolacerta martinezricai","Iberolacerta martinezricai","r113",0,0,0.28,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.28,0,0,1,1,0,0,0,0,0,0,0,0,0.28,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0,0,1,0,0,0,0,0,0,0.16,0,0,0,0.28,0.57,0,0,0.41,0,0,0,0,0,0.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta martinezricai",2468518
"Iberolacerta monticola","Iberolacerta monticola","r114",0,0,0.04,0,0,0,0,0,0,1,0,0.14,0,0.02,0,0,0,0,0.04,0,0,1,0.59,0,0,0,0,0,0,0.02,0,0.03,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.02,0,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0,0,0.33,0,0,0,0,0.7,0,0,0,0,0.67,0,0,0,0.42,0,0,0,0,0,0,0,0,0.3,0.18,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta monticola",2468511
"Lacerta agilis","Lacerta agilis","r115",0,0.06,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.01,0,0,0.79,0.03,0.02,0.01,0,0,0,0,0.38,0,0.01,0.01,0.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.14,0,0,0,0,0,0,0,0,1,0,0.21,0,0.01,0,0,0,0.02,0,0.23,0,0,0,0,0,0,0,0.02,0,0.01,0,0.04,0.06,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0.41,0,0,0,0,0.08,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0.05,0.05,0,0.01,0,0,0.03,0.11,0.71,0,0,0,0.02,0,0,0,0,0,0.05,0,0,0.01,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Lacerta","Lacerta agilis",6159223
"Lacerta bilineata","Lacerta bilineata","r117",0,0,0.03,0,0,0,0,0,0,0.95,0,0.01,0,0.03,0,0.19,0.03,0,0.11,0,0,0.92,0.28,0.02,0,0,0,0,0.12,0.72,0.15,0.06,0.03,0.13,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.69,0,0,0,0,0,0,0,0,0.45,0,1,0,0.11,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.09,0.02,0,0,0.14,0.09,0,0,0,0,0,0,0,0,0.08,0,0,0,0.9,0,0,0,0.27,0,0,0,0.04,0.04,0.03,0,0,0,0,0,0,0.28,0,0,0.19,0.02,0,0,0,0,0.59,0.32,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.02,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Lacerta","Lacerta bilineata",6159243
"Lacerta schreiberi","Lacerta schreiberi","r132",0,0,0.29,0,0,0,0,0,0,0.95,0,0.51,0,0.34,0,0,0,0,0.45,0,0.01,0.91,0.89,0,0,0,0,0,0,0.05,0,0.4,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.22,0,0,0,0,0,0,0.02,0,0,0,0.13,0,0,0.05,0,0.46,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0.41,0.35,0,0,0.35,0,0,0,0,0.38,0.01,0,0,0,0.93,0,0,0,0.24,0,0,0,0,0,0,0,0,0.71,0.46,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0.04,0,0.36,0.12,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Lacerta","Lacerta schreiberi",6159196
"Lacerta trilineata","Lacerta trilineata","r134",0,0.69,0,0,0,0,0.14,0.11,0.14,0.61,0,0,0.01,0,0,0,0.15,0,0,0,0,0.61,0,0.68,0.08,0,0.01,0,0,0.69,0.29,0,0.56,0.39,0,0.29,0,0.01,0,0,0,0,0,0,0,0,0.13,0.43,0,0,0.32,0.01,0,0,0,0,0,0.02,0,0,0.16,0,0,0,0,0.01,0,0,1,0,0.76,0.1,0.01,0,0,0,0,0,0.5,0,0.4,0.02,0,0.35,0.12,0.08,0.74,0,0,0.32,0,0,0,0,0.05,0,0.84,0.13,0,0,0.03,0.88,0,0,0,0,0,0.79,0,0,0,0,0,0.14,0.47,0.44,0.9,0,0.45,0,0.32,0.61,0,0.14,0,0,0,0.29,0.02,0.01,0,0,0,0.47,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Lacerta","Lacerta trilineata",6159197
"Lacerta viridis","Lacerta viridis","r136",0,0.34,0,0,0,0,0,0.03,0,0.83,0,0,0,0,0,0,0.02,0,0,0,0,0.84,0,0.17,0.07,0,0,0,0,0.81,0.04,0,0.1,0.33,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.04,0.01,0,0,0,0,0,0.03,0,0,0.51,0,0,0,0,0,0,0,0.22,0,1,0.02,0,0,0,0,0,0,0.11,0,0.08,0,0,0.25,0.02,0.02,0.17,0,0,0.08,0,0,0,0,0.02,0,0.71,0,0,0,0.01,0.42,0,0,0,0,0,0.2,0,0,0,0,0,0,0.08,0.21,0.37,0,0.09,0,0.06,0.31,0,0.44,0,0,0,0.11,0,0,0,0,0,0.27,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Lacerta","Lacerta viridis",6159273
"Laudakia stellio","Stellagama stellio","r139",0.07,0.35,0,0.21,0,0,0,0.07,0,0.54,0,0,0.07,0,0,0,0.36,0,0,0,0.08,0.44,0,0.99,0,0,0.11,0,0,0.44,0.13,0,0.69,0.19,0,0.39,0,0.34,0,0,0,0,0,0,0,0,0,0.8,0,0,0.09,0,0,0,0,0,0,0,0,0,0.13,0.02,0,0,0,0.05,0,0,0.63,0.24,0.52,1,0.06,0.24,0,0,0.17,0.01,0.77,0,0.48,0.1,0,0.22,0.02,0.37,0.69,0,0,0.53,0,0,0,0,0,0,0.53,0,0,0,0,0.54,0,0,0,0,0,0.64,0,0,0,0,0,0,0.95,0.52,0.54,0,0.29,0,0.76,0.3,0,0.12,0,0,0,0.41,0,0.07,0.22,0,0,0.42,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Agamidae","Stellagama","Stellagama stellio",7504253
"Macroprotodon brevis","Macroprotodon brevis","r143",0,0,0.67,0,0,0,0,0,0,0.17,0,1,0,0.79,0,0,0,0,0.84,0,0.09,0.27,0.92,0,0,0,0,0,0,0,0,1,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.07,0,0,0,0,0,0,1,0,0,0,1,0.47,0,0,0.31,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0.21,0,0.73,1,0,0,0,0,0,0,1,0,0.03,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.35,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Macroprotodon","Macroprotodon brevis",2455958
"Macroprotodon cucullatus","Macroprotodon cucullatus","r144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Macroprotodon","Macroprotodon cucullatus",7881183
"Macroprotodon mauritanicus","Macroprotodon mauritanicus","r251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.13,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Macroprotodon","Macroprotodon mauritanicus",2455971
"Macrovipera lebetina","Macrovipera lebetina","r145",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.98,0,0,1,0,0.98,0,0.49,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Viperidae","Macrovipera","Macrovipera lebetina",2444716
"Macrovipera schweizeri","Macrovipera schweizeri","r146",0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0.96,0,0.96,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0.96,0,0,0,0,0,1,0,0,0.17,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Viperidae","Macrovipera","Macrovipera schweizeri",2444698
"Malpolon monspessulanus","Malpolon monspessulanus","r147",0,0.11,0.52,0.01,0,0,0.03,0.02,0.03,0.5,0,0.65,0,0.58,0,0,0.04,0,0.55,0,0.04,0.49,0.8,0.15,0,0,0,0,0,0.15,0.06,0.79,0.13,0.2,0,0.07,0.01,0.01,0,0,0,0,0,0,0,0,0.03,0.41,0.53,0,0.08,0.04,0,0,0,0,0,0,0,0,0.05,0,0.1,0,0.82,0,0,0.11,0.14,0.01,0.11,0.03,0,0.01,0.37,0,0.01,0,1,0.32,0.08,0,0.27,0.06,0.04,0.03,0.14,0.03,0,0.08,0,0,0.73,0,0.01,0,0.23,0.03,0,0,0.01,0.13,0,0.08,0,0.49,0.72,0.15,0,0,0,0,0,0.76,0.13,0.08,0.15,0,0.1,0,0.09,0.09,0.07,0.01,0.48,0.02,0,0.06,0.01,0,0.01,0,0,0.05,0,0,0.35,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lamprophiidae","Malpolon","Malpolon monspessulanus",8796529
"Mauremys leprosa","Mauremys leprosa","r149",0,0,0.46,0,0,0,0,0,0,0.41,0,0.65,0,0.56,0,0,0,0,0.48,0,0.04,0.43,0.78,0,0,0,0,0,0,0.05,0,0.68,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.52,0,0,0.02,0,0,0,0,0,0,0,0.01,0.01,0,0.04,0,0.69,0,0,0.19,0,0,0,0,0,0,0.37,0,0,0,0.69,1,0,0,0.65,0,0,0,0,0.06,0,0,0,0,0.73,0,0,0,0.08,0,0,0,0,0,0,0.09,0,0.51,0.7,0,0,0,0,0,0,0.68,0,0.01,0,0,0,0,0,0,0.05,0,0.46,0.02,0,0,0,0,0,0,0,0,0,0,0.31,"found species on GBIF","Animalia","Chordata","Reptilia","Testudines","Geoemydidae","Mauremys","Mauremys leprosa",2443341
"Mauremys rivulata","Mauremys rivulata","r150",0.01,0.53,0,0.03,0,0,0.16,0.07,0.16,0.49,0,0,0.01,0,0,0,0.2,0,0,0,0.01,0.33,0,0.65,0.03,0,0.01,0,0,0.43,0.28,0,0.55,0.46,0,0.27,0,0.05,0,0,0,0,0,0,0,0,0.16,0.53,0,0,0.33,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.01,0,0,0.72,0.03,0.5,0.13,0.01,0.03,0,0,0.02,0,0.51,0,1,0.02,0,0.54,0.16,0.1,0.64,0,0,0.34,0,0,0,0,0,0,0.63,0.16,0,0,0,0.68,0,0,0,0,0,0.88,0,0,0,0,0,0.14,0.51,0.28,0.68,0,0.48,0,0.36,0.47,0,0.05,0,0,0,0.24,0.03,0.01,0.03,0,0,0.23,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Testudines","Geoemydidae","Mauremys","Mauremys rivulata",2443384
"Montivipera xanthina","Montivipera xanthina","r153",0,0.2,0,0,0,0,0,0,0,0.33,0,0,0.21,0,0,0,0.05,0,0,0,0.11,0.38,0,1,0,0,0.62,0,0,0.38,0,0,1,0.17,0,0.8,0,0.29,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0,0,0,0.01,0,0,0.78,0,0.38,0.62,0.12,0,0,0,0,0,0.63,0,0.47,1,0,0.18,0,1,0.99,0,0,0.38,0,0,0,0,0,0,0.38,0,0,0,0,0.38,0,0,0,0,0,1,0,0,0,0,0,0,1,0.76,0.38,0,0,0.01,0.72,0.35,0,0,0,0,0,0.8,0,0.16,0.14,0,0,0.48,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Viperidae","Montivipera","Montivipera xanthina",4820419
"Natrix maura","Natrix maura","r154",0,0,0.25,0,0.02,0,0,0,0,0.56,0.01,0.33,0,0.3,0,0.02,0.02,0,0.29,0,0.02,0.54,0.55,0,0,0,0,0,0,0.3,0,0.37,0,0.33,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.17,0.25,0,0,0.29,0,0,0,0,0,0,0,0.02,0.13,0,0.22,0,0.41,0,0,0.13,0,0,0,0,0,0,0.17,0,0,0,0.4,0.46,0,0,1,0.03,0,0,0,0.05,0,0,0,0,0.46,0,0,0,0.36,0,0,0,0.05,0,0.02,0.04,0,0.28,0.38,0,0,0,0,0,0,0.39,0,0.01,0.01,0,0,0,0,0,0.28,0.06,0.24,0.02,0,0,0,0,0,0,0,0,0,0,0.19,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Natricidae","Natrix","Natrix maura",6161340
"Natrix tesselleta","Natrix tessellata","r156",0,0.17,0,0,0,0,0.03,0.02,0.03,0.67,0,0,0,0,0,0.08,0.02,0,0,0,0,0.66,0.12,0.12,0.03,0,0,0,0.03,0.59,0.16,0,0.08,0.44,0,0.05,0,0,0,0,0,0,0,0,0,0,0.03,0.14,0,0,0.05,0.22,0,0,0,0,0,0.04,0,0,0.21,0,0.13,0,0,0,0,0,0.15,0,0.36,0.01,0,0,0,0,0,0,0.08,0,0.13,0,0.03,1,0.02,0.01,0.13,0,0,0.05,0,0,0,0,0.01,0,0.63,0.03,0,0,0.18,0.21,0,0,0,0,0,0.18,0,0,0,0,0,0.1,0.07,0.09,0.31,0,0.09,0,0.05,0.2,0.22,0.33,0,0,0,0.06,0.01,0,0,0,0,0.11,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Natricidae","Natrix","Natrix tessellata",6161327
"Ophiomorus punctatissimus","Ophiomorus punctatissimus","r157",0,1,0,0,0,0,0.5,0,0.5,0.37,0,0,0,0,0,0,0.2,0,0,0,0,0.13,0,1,0,0,0,0,0,0.14,0.51,0,1,0.37,0,0.58,0,0,0,0,0,0,0,0,0,0,0.51,1,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.48,0.03,0,0,0,0,0,0,1,0,0.71,0,0,0.43,1,0,0.98,0,0,0.54,0,0,0,0,0,0,0.7,0.51,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0.23,1,0.39,1,0,0.99,0,0.74,0.71,0,0,0,0,0,0.37,0.15,0,0,0,0,0.05,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Ophiomorus","Ophiomorus punctatissimus",2462191
"Ophisops elegans","Ophisops elegans","r158",0.05,0.27,0,0.2,0,0,0,0,0,0.51,0,0,0.1,0,0,0,0.29,0,0,0,0.07,0.56,0,1,0.01,0,0.15,0,0,0.51,0,0,0.69,0.2,0,0.43,0,0.35,0,0,0,0,0,0,0,0,0,0.9,0,0,0.01,0,0,0,0,0,0,0,0,0,0.25,0.02,0,0,0,0.06,0,0,0.69,0.22,0.55,0.47,0.08,0.22,0,0,0.17,0,0.78,0,0.49,0.21,0,0.24,0,1,0.75,0,0,0.4,0,0,0,0,0,0,0.56,0,0,0,0,0.56,0,0,0,0,0,0.7,0,0,0,0,0,0,0.68,0.66,0.56,0,0,0,0.61,0.32,0,0.14,0,0,0,0.44,0,0.09,0.22,0,0,0.58,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Ophisops","Ophisops elegans",2469702
"Parvilacerta parva","Parvilacerta parva","r130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Parvilacerta","Parvilacerta parva",5226786
"Phoenicolacerta troodica","Phoenicolacerta troodica","r135",0.33,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.93,0,0.99,0,0,0.67,0,0.99,0,0.46,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Phoenicolacerta","Phoenicolacerta troodica",5789552
"Platyceps collaris","Platyceps collaris","r61",0,0.96,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0.96,0,1,0.35,1,0,0,0,0.96,0,0,0.96,0.42,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0.96,0,0,0,0,0,0,0,0.96,0,0.71,0,0,0.48,0,0.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0.96,0.96,0,0,0,0.96,0.35,0,0,0,0,0,0.35,0,0,0,0,0,0.96,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Platyceps","Platyceps collaris",5223125
"Platyceps najadum","Platyceps najadum","r163",0,0.61,0,0,0,0,0.16,0.12,0.16,0.68,0,0,0.01,0,0,0,0.14,0,0,0,0,0.57,0,0.67,0.02,0,0.02,0,0,0.67,0.35,0,0.63,0.42,0,0.34,0,0.02,0,0,0,0,0,0,0,0,0.17,0.49,0,0,0.34,0.01,0,0,0,0,0,0.02,0,0,0.13,0,0,0,0,0.01,0,0,0.93,0,0.75,0.13,0.01,0,0,0,0,0,0.6,0,0.44,0.03,0,0.38,0.15,0.11,1,0,0,0.38,0,0,0,0,0.06,0,0.88,0.17,0,0,0.04,0.89,0,0,0,0,0,0.89,0,0,0,0,0,0.12,0.54,0.39,0.95,0,0.55,0,0.39,0.7,0,0.2,0,0,0,0.32,0.03,0.01,0,0,0,0.37,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Platyceps","Platyceps najadum",5223135
"Podarcis bocagei","Podarcis bocagei","r166",0,0,0.2,0,0,0,0,0,0,1,0,0.23,0,0.18,0,0,0,0,0.3,0,0,1,0.81,0,0,0,0,0,0,0,0,0.28,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.03,0,0.35,0,0,0.98,0,0,0,0,0,0,0.01,0,0,0,0.29,0.26,0,0,0.36,0,0,0,0,1,0,0,0,0,0.88,0,0,0,0.16,0,0,0,0,0,0,0,0,0.58,0.27,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.23,0.21,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Podarcis","Podarcis bocagei",2469143
"Podarcis carbonelli","Podarcis carbonelli","r167",0,0,0.21,0,0,0,0,0,0,0.99,0,1,0,0.71,0,0,0,0,0.23,0,0.01,0.99,1,0,0,0,0,0,0,0,0,0.23,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.22,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.23,0,0,0.98,0,0,0,0,0,0,0.12,0,0,0,0.23,0.63,0,0,0.44,0,0,0,0,0,1,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0.52,0,0,0,0,0,0,0.22,0,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Podarcis","Podarcis carbonelli",2469141
"Podarcis erhardii","Podarcis erhardii","r168",0,0.65,0,0,0,0,0.03,0.09,0.03,0.77,0,0,0,0,0,0,0.28,0,0,0,0,0.44,0,1,0,0,0,0,0,0.62,0.23,0,0.98,0.33,0,0.42,0,0,0,0,0,0,0,0,0,0,0.03,0.76,0,0,0.41,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0.97,0,0.89,0.25,0,0,0,0,0,0,0.83,0,0.58,0.03,0,0.38,0.21,0.14,0.94,0,0,1,0,0,0,0,0,0,0.9,0.03,0,0,0,0.92,0,0,0,0,0,0.92,0,0,0,0,0,0.05,0.82,0.65,0.94,0,0.7,0,0.62,0.6,0,0.09,0,0,0,0.59,0,0,0,0,0,0.32,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Podarcis","Podarcis erhardii",2469075
"Podarcis filfolensis","Podarcis filfolensis","r169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Podarcis","Podarcis filfolensis",2469148
"Podarcis gaigeae","Podarcis gaigeae","r170",0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Podarcis","Podarcis gaigeae",2468994
